0.01043+0.092568i,0.056947+0.07372i,0.086933+0.033471i,0.091682-0.016494i,0.069816-0.061671i,0.027682-0.088945i,-0.022487-0.090399i,-0.066128-0.06561i,-0.10201-0.044068i,-0.11007+0.015261i,-0.086178+0.07016i,-0.037265+0.10469i,0.022465+0.10883i,0.075674+0.081378i,0.10692+0.030301i,0.10712-0.029572i,0.098719-0.081048i,0.042336-0.12051i,-0.026337-0.12498i,-0.087364-0.093176i,-0.12303-0.034321i,-0.12298+0.034497i,-0.08723+0.093301i,-0.026157+0.12502i,0.036015+0.13576i,0.10123+0.097368i,0.13706+0.03071i,0.1331-0.044863i,0.090501-0.10741i,0.021632-0.13878i,-0.053517-0.12986i,-0.11313-0.083243i,-0.14485-0.019173i,-0.13378+0.05877i,-0.083865+0.11965i,-0.0096075+0.1458i,0.067439+0.12962i,0.12491+0.075816i,0.14612,0.12491-0.075816i,0.068662-0.12421i,-0.0057562-0.14181i,-0.078503-0.11824i,-0.12846-0.060346i,-0.14113+0.015068i,-0.11282+0.086108i,-0.051769+0.13215i,0.024315+0.13983i,0.080155+0.098069i,0.11941+0.042244i,0.12399-0.025844i,0.092587-0.08643i,0.034302-0.12193i,-0.033941-0.12203i,-0.092331-0.086704i,-0.12392-0.026211i,-0.09839+0.026723i,-0.070243+0.073896i,-0.021705+0.099617i,0.033134+0.09642i,0.078354+0.065232i,0.10083+0.015108i,0.094033-0.039402i,0.059939-0.082474i
-0.0035522-0.1246i,-0.06769-0.10467i,-0.11218-0.054359i,-0.1241+0.011737i,-0.099998+0.074426i,-0.046865+0.11551i,0.019872+0.12306i,0.08084+0.094887i,-0.00034754+0.12505i,0.06459+0.10708i,0.11078+0.058026i,0.12481-0.0078757i,0.1026-0.071491i,0.050616-0.11435i,-0.016065-0.12402i,-0.078083-0.097681i,0.0042894-0.12523i,-0.061312-0.10928i,-0.10911-0.061605i,-0.12524+0.003954i,-0.10501+0.068365i,-0.054297+0.11293i,0.01218+0.12471i,0.075121+0.10029i,-0.0082455+0.12513i,0.057879+0.11125i,0.1072+0.065068i,0.1254,0.1072-0.065068i,0.057879-0.11125i,-0.0082455-0.12513i,-0.071976-0.10269i,0.012187-0.12476i,-0.054314-0.11297i,-0.10505-0.068392i,-0.12529-0.0039581i,-0.10916+0.061625i,-0.061337+0.10932i,0.0042884+0.12528i,0.068669+0.10487i,-0.016087+0.12411i,0.050644+0.11444i,0.10267+0.071552i,0.1249+0.007892i,0.11086-0.058059i,0.064647-0.10716i,-0.00033725-0.12515i,-0.065223-0.10681i,0.019917-0.12319i,-0.046895-0.11565i,-0.10009-0.074527i,-0.12424-0.011774i,-0.11231+0.054397i,-0.067785+0.10478i,-0.0035797+0.12474i,0.061664+0.10849i,-0.023651+0.12202i,0.043095+0.11658i,0.09733+0.077298i,0.12331+0.015577i,0.11349-0.050667i,0.070731-0.1022i,0.007435-0.12407i,-0.058019-0.10992i
-0.062355+0.092196i,-0.0054666+0.11117i,0.053009+0.097869i,0.096096+0.056158i,0.11129-0.0018547i,0.094172-0.059329i,0.049718-0.099581i,-0.009168-0.11092i,-0.12038-0.0064197i,-0.10624+0.056974i,-0.061256+0.10383i,0.0015094+0.12054i,0.063836+0.10226i,0.10763+0.054296i,0.12018-0.009432i,0.097844-0.070422i,-0.059923-0.119i,-0.11297-0.070631i,-0.13322-0.0017627i,-0.1148+0.067618i,-0.063051+0.11737i,0.0070006+0.13305i,0.07502+0.1101i,0.12126+0.055197i,0.068215-0.11666i,-0.0022166-0.13512i,-0.072005-0.11436i,-0.12089-0.060397i,-0.13468+0.011096i,-0.10938+0.079368i,-0.052318+0.1246i,0.019928+0.13366i,0.13717,0.11726-0.071175i,0.063311-0.12169i,-0.0090194-0.13688i,-0.078731-0.11233i,-0.12559-0.055173i,-0.13599+0.018i,-0.10691+0.085947i,0.071278+0.10893i,0.11745+0.056132i,0.12953-0.012958i,0.104-0.078286i,0.048288-0.12089i,-0.021446-0.1284i,-0.084955-0.098632i,-0.1238-0.040235i,-0.056227+0.10761i,0.0077712+0.12117i,0.069514+0.099548i,0.11108+0.04903i,0.12039-0.015721i,0.094762-0.075909i,0.04162-0.11406i,-0.023603-0.1191i,-0.10724+0.0077718i,-0.087646+0.06229i,-0.042603+0.098726i,0.014807+0.1065i,0.067918+0.083361i,0.10131+0.03602i,0.1053-0.021777i,0.078714-0.073252i
0.098214-0.050865i,0.057565-0.094443i,0.00020615-0.1106i,-0.057213-0.094657i,-0.098023-0.051231i,-0.11038+0.0070667i,-0.09069+0.063313i,-0.044675+0.10118i,0.040531-0.11389i,-0.024446-0.11839i,-0.082325-0.08852i,-0.11631-0.032955i,-0.11652+0.032177i,-0.082915+0.087968i,-0.025236+0.11822i,0.039769+0.11416i,-0.053618-0.11836i,-0.10725-0.073363i,-0.12975-0.0070645i,-0.11458+0.061285i,-0.066152+0.11184i,0.0014822+0.12993i,0.068687+0.11031i,0.11595+0.058655i,-0.12578-0.047911i,-0.13238+0.024307i,-0.10056+0.089469i,-0.039537+0.12866i,0.032959+0.1305i,0.095887+0.094455i,0.13098+0.030992i,0.12805-0.041468i,-0.12352+0.054263i,-0.077433+0.11048i,-0.0088706+0.13462i,0.062267+0.11968i,0.11533+0.070001i,0.13491,0.11533-0.070001i,0.062267-0.11968i,-0.048426+0.12163i,0.021712+0.1291i,0.085547+0.099096i,0.12455+0.040324i,0.12739-0.030153i,0.093256-0.091878i,0.032048-0.12693i,-0.038465-0.12513i,0.045759+0.1138i,0.098166+0.07354i,0.12207+0.01193i,0.11055-0.053143i,0.066926-0.10279i,0.0038775-0.12259i,-0.060297-0.10681i,-0.10697-0.060023i,0.10201+0.048613i,0.11243-0.011372i,0.090206-0.068056i,0.0418-0.10498i,-0.01874-0.11143i,-0.07384-0.085536i,-0.1075-0.034807i,-0.10996+0.026026i
0.10439+0.053565i,0.11703-0.0083743i,0.095699-0.067883i,0.046586-0.10768i,-0.016051-0.11623i,-0.074028-0.091028i,-0.11052-0.039404i,-0.11492+0.023658i,0.060689+0.11748i,0.11284+0.068941i,0.13223+0.00038502i,0.11324-0.068283i,0.061373-0.11713i,-0.0083104-0.13197i,-0.075581-0.1085i,-0.12091-0.053538i,0.0078019+0.11745i,0.067612+0.096355i,0.10779+0.047287i,0.11668-0.015508i,0.091701-0.073801i,0.040097-0.11067i,-0.023146-0.11541i,-0.079671-0.08665i,-0.014619+0.11404i,0.046674+0.10507i,0.094417+0.065601i,0.11475+0.0070891i,0.10177-0.053481i,0.059251-0.098526i,-0.00047134-0.11497i,-0.060057-0.098037i,-0.045016+0.11443i,0.020891+0.12118i,0.080734+0.092747i,0.11714+0.037395i,0.11954-0.028814i,0.087238-0.086657i,0.029612-0.11934i,-0.036611-0.11739i,-0.083956+0.10448i,-0.017558+0.13288i,0.053936+0.1227i,0.10977+0.076904i,0.13374+0.0087836i,0.11889-0.061887i,0.06952-0.11459i,-2.9251e-005-0.13403i,-0.12994+0.057083i,-0.081458+0.11622i,-0.0093316+0.14162i,0.065503+0.1259i,0.12132+0.07364i,0.14192,0.12132-0.07364i,0.065503-0.1259i,-0.11377-0.022443i,-0.1089+0.039849i,-0.072421+0.090572i,-0.014913+0.115i,0.046923+0.10605i,0.095138+0.066309i,0.11573+0.0073194i,0.10273-0.053794i
0.0013534-0.070589i,-0.03547-0.061046i,-0.061997-0.033781i,-0.070526+0.0032909i,-0.058581+0.039407i,-0.029631+0.064084i,0.0079209+0.070157i,0.043174+0.055864i,-0.085545-0.061646i,-0.10512-0.0083111i,-0.09417+0.047437i,-0.055888+0.089414i,-0.0013817+0.10543i,0.053526+0.090847i,0.092895+0.049888i,0.1053-0.0055538i,-0.12931+0.038258i,-0.09069+0.099801i,-0.025743+0.13237i,0.046678+0.12652i,0.10555+0.083932i,0.13378+0.016984i,0.12317-0.054895i,0.07681-0.11084i,-0.058923+0.14101i,0.022795+0.15112i,0.097897+0.11735i,0.14458+0.049524i,0.14929-0.032682i,0.11066-0.1054i,0.039911-0.14752i,-0.042428-0.14682i,0.072042+0.13847i,0.13343+0.080991i,0.15609,0.13343-0.080991i,0.072042-0.13847i,-0.010263-0.15575i,-0.089589-0.12782i,-0.14291-0.062782i,0.14098+0.031099i,0.13665-0.046566i,0.092657-0.11071i,0.021762-0.14272i,-0.05545-0.1333i,-0.11657-0.085177i,-0.14384-0.012331i,-0.12936+0.064094i,0.094287-0.074373i,0.042012-0.1125i,-0.02246-0.11797i,-0.080411-0.089193i,-0.11502-0.034524i,-0.11624+0.030168i,-0.083713+0.086102i,-0.026886+0.11704i,-0.0012602-0.087902i,-0.046687-0.074489i,-0.078561-0.039453i,-0.087629+0.0070372i,-0.071259+0.051484i,-0.034202+0.080985i,0.012784+0.086977i,0.056058+0.067719i
-0.10035+0.072331i,-0.048252+0.1139i,0.017851+0.1224i,0.078772+0.095375i,0.11683+0.040658i,0.12097-0.025861i,0.089989-0.084873i,0.032889-0.11925i,0.082758-0.093168i,0.022403-0.12259i,-0.044455-0.11642i,-0.098408-0.076453i,-0.12379-0.014294i,-0.11324+0.052014i,-0.069817+0.10322i,-0.0061238+0.12447i,-0.060734+0.10955i,0.0049261+0.12517i,0.069156+0.10444i,0.11331+0.053399i,0.12457-0.013145i,0.099669-0.075874i,0.045833-0.11658i,-0.021308-0.12344i,0.035446-0.12053i,-0.03224-0.12143i,-0.090567-0.087075i,-0.1226-0.027444i,-0.11905+0.040155i,-0.080932+0.096096i,-0.019323+0.12414i,0.047895+0.11615i,-0.0082672+0.12546i,0.058031+0.11154i,0.10748+0.06524i,0.12573,0.10748-0.06524i,0.058031-0.11154i,-0.0082672-0.12546i,-0.072166-0.10296i,-0.019308-0.12406i,-0.080878-0.096036i,-0.11897-0.040131i,-0.12252+0.027424i,-0.09051+0.087017i,-0.032222+0.12135i,0.035421+0.12046i,0.09278+0.084593i,0.045766+0.11643i,0.099536+0.075785i,0.12441+0.013139i,0.11317-0.053322i,0.069076-0.1043i,0.0049299-0.12501i,-0.060648-0.10942i,-0.10862-0.062069i,-0.069666-0.10304i,-0.11302-0.051935i,-0.12356+0.014245i,-0.098235+0.07629i,-0.044392+0.11619i,0.022338+0.12236i,0.082584+0.093007i,0.11886+0.036656i
0.12417+0.024543i,0.11888-0.043449i,0.079082-0.098827i,0.016325-0.12552i,-0.051172-0.11577i,-0.10381-0.072413i,-0.12632-0.0080367i,-0.11215+0.058673i,-0.12361-0.009011i,-0.11035+0.056436i,-0.065046+0.1055i,-0.00086384+0.12394i,0.063569+0.1064i,0.10955+0.057968i,0.12373-0.0072871i,0.10199-0.070427i,0.12756-0.0099477i,0.10388-0.074689i,0.050047-0.11775i,-0.018313-0.12663i,-0.081357-0.098743i,-0.12078-0.042197i,-0.12515+0.026599i,-0.09318+0.087674i,-0.1192+0.015545i,-0.093831+0.075138i,-0.041225+0.11292i,0.023349+0.11792i,0.081145+0.088687i,0.11538+0.033711i,0.11613-0.031052i,0.08316-0.0868i,0.12016-0.035574i,0.084259-0.092757i,0.0239-0.12301i,-0.043397-0.11756i,-0.098096-0.077978i,-0.12432-0.01576i,-0.11445+0.051033i,-0.071359+0.10301i,-0.11875+0.052168i,-0.074444+0.10621i,-0.0085282+0.12942i,0.059863+0.11506i,0.11088+0.067299i,0.1297,0.11088-0.067299i,0.059863-0.11506i,0.10174-0.063429i,0.054064-0.10701i,-0.0093101-0.11953i,-0.069981-0.097352i,-0.11034-0.04691i,-0.11866+0.017149i,-0.09254+0.076231i,-0.039554+0.11318i,-0.10159+0.074684i,-0.048091+0.11656i,0.019367+0.12459i,0.081202+0.096457i,0.11946+0.040323i,0.12305-0.027517i,0.09091-0.087369i,0.032381-0.12186i
-0.11446+0.03462i,-0.079884+0.088986i,-0.022116+0.11752i,0.042071+0.11194i,0.094046+0.07386i,0.11872+0.014342i,0.10893-0.04934i,0.067517-0.098699i,0.12222-0.023359i,0.092357-0.083383i,0.035686-0.1192i,-0.031344-0.12042i,-0.089275-0.086675i,-0.12129-0.027771i,-0.11809+0.039194i,-0.080617+0.094781i,-0.1268+0.011576i,-0.10239+0.075687i,-0.048253+0.11783i,0.019888+0.12576i,0.082255+0.097188i,0.12074+0.040401i,0.12418-0.028114i,0.091569-0.088468i,0.13015+0.0016498i,0.11212-0.066123i,0.061535-0.1147i,-0.0069116-0.12998i,-0.073352-0.10753i,-0.1185-0.05386i,-0.12924+0.015443i,-0.10247+0.080263i,-0.12923-0.017105i,-0.11935+0.052431i,-0.074819+0.10675i,-0.0085711+0.13007i,0.060165+0.11564i,0.11143+0.067638i,0.13036,0.11143-0.067638i,0.12315+0.030331i,0.12101-0.037972i,0.083746-0.095251i,0.022167-0.12488i,-0.045846-0.11825i,-0.10055-0.077302i,-0.12607-0.013909i,-0.11498+0.053523i,-0.11587-0.040334i,-0.11998+0.025645i,-0.089262+0.084178i,-0.032628+0.11828i,0.033478+0.11804i,0.089865+0.083534i,0.12016+0.02478i,0.11558-0.041167i,0.10716+0.049466i,0.11728-0.013319i,0.093343-0.072237i,0.042312-0.11018i,-0.021001-0.11615i,-0.078218-0.088391i,-0.11273-0.034976i,-0.11451+0.028592i
-0.11453+0.038546i,-0.077904+0.092377i,-0.018664+0.11939i,0.045993+0.11175i,0.097299+0.071661i,0.12036+0.010774i,0.10848-0.053241i,0.065108-0.1018i,0.12155-0.027622i,0.089574-0.086681i,0.031596-0.12058i,-0.035554-0.11947i,-0.092383-0.083681i,-0.12239-0.0236i,-0.11687+0.043332i,-0.077425+0.097685i,-0.12661+0.014531i,-0.1007+0.078118i,-0.045546+0.11903i,0.022825+0.12538i,0.08457+0.095341i,0.12176+0.037621i,0.12361-0.03102i,0.089574-0.090656i,0.12882,0.11012-0.066839i,0.059454-0.11427i,-0.0084698-0.12854i,-0.073935-0.10549i,-0.11794-0.051811i,-0.1277+0.016903i,-0.1004+0.080711i,-0.12769-0.014849i,-0.11686+0.053559i,-0.072106+0.10642i,-0.0064217+0.12839i,0.061127+0.11308i,0.11093+0.064952i,0.12853-0.0020338i,0.10882-0.06843i,0.12335+0.028788i,0.12038-0.039392i,0.082468-0.096137i,0.020615-0.12497i,-0.047222-0.11753i,-0.10135-0.075968i,-0.12606-0.012353i,-0.11417+0.054848i,-0.11648-0.040809i,-0.12075+0.025552i,-0.089962+0.084495i,-0.033062+0.11891i,0.033436+0.1188i,0.090227+0.084211i,0.12083+0.025172i,0.11635-0.041175i,0.1081+0.050387i,0.11856-0.013019i,0.094593-0.072645i,0.04317-0.11118i,-0.020786-0.11744i,-0.078707-0.089612i,-0.11378-0.035766i,-0.11582+0.028463i
0.033095+0.088504i,0.074214+0.058485i,0.093788+0.011489i,0.086136-0.038843i,0.053479-0.077899i,0.0052973-0.094341i,-0.044422-0.083396i,-0.081246-0.048241i,-0.078435-0.089704i,-0.1136-0.035986i,-0.11578+0.028179i,-0.084353+0.084164i,-0.028439+0.11572i,0.035731+0.11368i,0.089528+0.078636i,0.11734+0.020769i,0.11993+0.067093i,0.13734-0.0048761i,0.11487-0.07543i,0.059062-0.12409i,-0.013896-0.13672i,-0.08282-0.10967i,-0.1277-0.050776i,-0.13551+0.022855i,-0.14806-0.019597i,-0.13674+0.06007i,-0.08572+0.1223i,-0.00982+0.14903i,0.068931+0.13249i,0.12767+0.077493i,0.14935,0.12767-0.077493i,0.14255-0.035324i,0.10353-0.10416i,0.034455-0.14276i,-0.04462-0.13992i,-0.11074-0.096455i,-0.14472-0.024994i,-0.13668+0.053723i,-0.088965+0.11684i,-0.11051+0.078091i,-0.053951+0.1241i,0.018271+0.13408i,0.085189+0.10514i,0.12738+0.045675i,0.13259-0.027047i,0.099308-0.091917i,0.0372-0.1301i,0.065283-0.093923i,0.0070729-0.11416i,-0.05319-0.10126i,-0.098012-0.058966i,-0.11438+0.00044889i,-0.097546+0.059733i,-0.052394+0.10168i,0.0079687+0.1141i,-0.020687+0.085394i,0.026624+0.083733i,0.066207+0.057765i,0.086569+0.015027i,0.081801-0.032072i,0.053286-0.069861i,0.0093028-0.08737i,-0.037381-0.079515i
-0.025178+0.1255i,0.043593+0.12034i,0.099709+0.080258i,0.12688+0.016872i,0.11722-0.051411i,0.073528-0.10477i,0.0084932-0.12771i,-0.059007-0.11358i,-0.13983+0.046911i,-0.095195+0.11266i,-0.022923+0.1457i,0.056003+0.13645i,0.11867+0.087582i,0.14689+0.013294i,0.13247-0.064854i,0.079589-0.12417i,-0.091348-0.078593i,-0.11887-0.019787i,-0.11188+0.044763i,-0.072416+0.096318i,-0.011929+0.11991i,0.052022+0.1087i,0.10087+0.065927i,0.12044+0.0040183i,0.028957-0.058635i,-0.0056703-0.065149i,-0.038651-0.052751i,-0.060412-0.025039i,-0.064635+0.0099417i,-0.050095+0.042036i,-0.021012+0.061928i,0.01417+0.063842i,0.02131+0.06474i,0.051809+0.044286i,0.067268+0.010976i,0.063199-0.02552i,0.040784-0.054608i,0.0065295-0.067844i,-0.029621-0.061384i,-0.057172-0.037105i,-0.12287+0.060155i,-0.073821+0.11518i,-0.003344+0.13676i,0.068104+0.11865i,0.11978+0.066088i,0.13669-0.0056556i,0.11391-0.075757i,0.058069-0.12387i,-0.12851-0.10331i,-0.16346-0.021636i,-0.15096+0.066318i,-0.094636+0.13502i,-0.010841+0.16453i,0.0761+0.14627i,0.14095+0.085553i,0.16488,0.023594-0.13024i,-0.047408-0.12358i,-0.10465-0.081041i,-0.13151-0.014979i,-0.12019+0.055431i,-0.073984+0.10975i,-0.0062999+0.13221i,0.063213+0.11629i
0.11231+0.026063i,0.10953-0.035994i,0.074957-0.087603i,0.018622-0.11378i,-0.043118-0.10693i,-0.092342-0.069034i,-0.11476-0.0111i,-0.10386+0.050056i,-0.043157-0.11443i,-0.096269-0.075429i,-0.12143-0.01453i,-0.11135+0.050588i,-0.068936+0.10102i,-0.0065138+0.12213i,0.0578+0.10778i,0.10533+0.062145i,-0.074636+0.10682i,-0.0083779+0.13004i,0.060312+0.11551i,0.11149+0.067451i,0.13031-0.0001905i,0.1113-0.067777i,0.059974-0.11569i,-0.0087581-0.13001i,0.13288,0.11359-0.068946i,0.061328-0.11788i,-0.0087369-0.13259i,-0.076266-0.10881i,-0.12166-0.053445i,-0.13173+0.017436i,-0.10356+0.083256i,-0.075586-0.10859i,-0.12096-0.053608i,-0.13122+0.016935i,-0.10338+0.082562i,-0.045538+0.12422i,0.025527+0.12982i,0.089181+0.097731i,0.12695+0.037272i,-0.045788+0.12092i,0.0236+0.12713i,0.086137+0.096429i,0.12367+0.037738i,0.1253-0.031908i,0.090557-0.092291i,0.029525-0.12588i,-0.040077-0.12293i,0.11852-0.029037i,0.086251-0.08632i,0.028943-0.11854i,-0.036767-0.11635i,-0.091804-0.080388i,-0.12019-0.021086i,-0.11369+0.044338i,-0.074178+0.096891i,-0.084314-0.076755i,-0.1119-0.021865i,-0.107+0.039371i,-0.071045+0.089178i,-0.01446+0.1131i,0.046322+0.10418i,0.093657+0.065027i,0.1138+0.0069927i
-0.023439-0.1043i,-0.074158-0.077002i,-0.10335-0.027347i,-0.10254+0.030247i,-0.07196+0.07906i,-0.020493+0.10492i,0.036923+0.10033i,0.08362+0.066606i,0.086639+0.084798i,0.11806+0.027535i,0.11521-0.037721i,0.078918-0.092027i,0.019713-0.11962i,-0.045215-0.11248i,-0.097017-0.072696i,-0.12065-0.011805i,-0.12913-0.025874i,-0.12381+0.044883i,-0.082552+0.10261i,-0.017327+0.13055i,0.052927+0.12059i,0.10782+0.075626i,0.13141+0.0087059i,0.11685-0.060742i,0.12744-0.050988i,0.082485-0.10971i,0.013586-0.13659i,-0.059257-0.12381i,-0.1149-0.075093i,-0.13718-0.0045756i,-0.11965+0.06727i,-0.067376+0.11959i,-0.078837+0.11248i,-0.0090314+0.13706i,0.063396+0.12185i,0.11742+0.07127i,0.13736,0.11742-0.07127i,0.063396-0.12185i,-0.0090314-0.13706i,0.0043464-0.13192i,-0.064733-0.11503i,-0.11502-0.064741i,-0.13192+0.0043368i,-0.11052+0.072156i,-0.057038+0.11903i,0.013001+0.13135i,0.079267+0.10554i,0.063033+0.10414i,0.10792+0.056322i,0.12148-0.0078508i,0.099775-0.069744i,0.049104-0.11139i,-0.015821-0.1207i,-0.076154-0.094973i,-0.11438-0.041674i,-0.096887-0.046856i,-0.10714+0.010217i,-0.086285+0.064324i,-0.040384+0.099759i,0.017239+0.10623i,0.069859+0.081868i,0.1022+0.033738i,0.10487-0.024187i
-0.0911+0.064356i,-0.044484+0.10228i,0.015045+0.11052i,0.070207+0.086671i,0.10499+0.037663i,0.10929-0.022279i,0.081868-0.075754i,0.030678-0.10724i,-0.0027295-0.12646i,-0.067951-0.10669i,-0.11345-0.055946i,-0.12601+0.011039i,-0.10199+0.074818i,-0.048365+0.11688i,0.0193+0.12501i,0.081363+0.09685i,0.11296+0.073281i,0.13459+0.0040302i,0.11715-0.06639i,0.065695-0.11754i,-0.0048281-0.13456i,-0.073949-0.11253i,-0.1216-0.057824i,-0.13396+0.013666i,-0.12467+0.054771i,-0.078159+0.11151i,-0.0089537+0.13588i,0.06285+0.1208i,0.11641+0.070657i,0.13617,0.11641-0.070657i,0.06285-0.1208i,0.020945-0.13224i,-0.050711-0.12391i,-0.10765-0.079615i,-0.13333-0.012205i,-0.12031+0.058749i,-0.072365+0.11265i,-0.0034114+0.13384i,0.066532+0.11619i,0.09519+0.086777i,0.1264+0.02479i,0.12092-0.044394i,0.08033-0.10069i,0.016425-0.12776i,-0.052248-0.11773i,-0.10575-0.073536i,-0.12856-0.0079893i,-0.11624+0.027352i,-0.085172+0.083694i,-0.029383+0.11574i,0.034936+0.11419i,0.089113+0.079485i,0.11742+0.02171i,0.11164-0.042368i,0.073454-0.094147i,0.037685-0.098428i,-0.018856-0.10369i,-0.069924-0.07886i,-0.10069-0.031132i,-0.10223+0.025633i,-0.074091+0.074957i,-0.024444+0.10252i,0.0323+0.10032i
-0.1145+0.0503i,-0.071779+0.10241i,-0.0082228+0.12479i,0.05772+0.11094i,0.10691+0.06489i,0.12506,0.10691-0.06489i,0.05772-0.11094i,0.11559-0.047732i,0.074044-0.10078i,0.011005-0.12457i,-0.055229-0.1122i,-0.10543-0.067258i,-0.12502-0.0027907i,-0.10833+0.062486i,-0.06018+0.10962i,-0.11662+0.045137i,-0.076269+0.099094i,-0.013781+0.12428i,0.052707+0.1134i,0.10389+0.069588i,0.12492+0.0055793i,0.10968-0.060049i,0.062606-0.10825i,0.11758-0.042518i,0.07845-0.097355i,0.016549-0.12393i,-0.050157-0.11453i,-0.1023-0.071879i,-0.12475-0.0083641i,-0.11098+0.057579i,-0.064997+0.10681i,-0.11847+0.039877i,-0.080587+0.095562i,-0.019306+0.12351i,0.04758+0.1156i,0.10065+0.07413i,0.12451+0.011143i,0.11222-0.055078i,0.067351-0.10531i,0.11931-0.037214i,0.082679-0.093717i,0.022051-0.12301i,-0.044978-0.1166i,-0.098951-0.076338i,-0.1242-0.013915i,-0.11339+0.052548i,-0.069666+0.10376i,-0.12007+0.034533i,-0.084723+0.091822i,-0.024782+0.12245i,0.042353+0.11754i,0.097194+0.078502i,0.12382+0.016677i,0.1145-0.04999i,0.071942-0.10214i,0.12077-0.031835i,0.086719-0.089877i,0.027497-0.12183i,-0.039707-0.11841i,-0.095384-0.080622i,-0.12337-0.019427i,-0.11554+0.047407i,-0.074176+0.10048i
-0.094145+0.0086791i,-0.075976+0.056269i,-0.035752+0.087523i,0.014851+0.09337i,0.061142+0.072112i,0.089685+0.02992i,0.092192-0.020958i,0.067936-0.065752i,0.10188+0.059491i,0.11796-0.0020061i,0.099796-0.062921i,0.052663-0.10557i,-0.0097578-0.11757i,-0.069346-0.095443i,-0.1088-0.045608i,-0.11668+0.017467i,-0.062273-0.12075i,-0.11589-0.070911i,-0.13586-0.00048732i,-0.11639+0.070077i,-0.063137+0.1203i,0.0084468+0.1356i,0.077579+0.11153i,0.12419+0.055091i,-0.0095597+0.14508i,0.067104+0.12898i,0.12429+0.075439i,0.14539,0.12429-0.075439i,0.067104-0.12898i,-0.0095597-0.14508i,-0.083448-0.11906i,0.082155-0.11981i,0.0080649-0.14505i,-0.068367-0.12818i,-0.12495-0.0741i,-0.14526+0.0014896i,-0.12341+0.076647i,-0.065724+0.12955i,0.011038+0.14485i,-0.12347+0.056154i,-0.076414+0.11207i,-0.0071727+0.13545i,0.064151+0.11951i,0.11685+0.06888i,0.13563-0.001749i,0.11504-0.07187i,0.061048-0.12113i,0.11687+0.016595i,0.10852-0.046455i,0.068663-0.09602i,0.0088744-0.11771i,-0.05349-0.10523i,-0.10033-0.062201i,-0.11804-0.0011156i,-0.10148+0.060294i,-0.06901-0.065935i,-0.093205-0.020557i,-0.090343+0.030788i,-0.061255+0.073196i,-0.014384+0.094355i,0.036662+0.088123i,0.077065+0.056309i,0.095096+0.0081491i
-0.10585-0.066818i,-0.12516-0.0021962i,-0.10813+0.063063i,-0.059713+0.11001i,0.0060378+0.12503i,0.070036+0.10375i,0.1137+0.05235i,0.12436-0.014246i,-0.11745-0.042266i,-0.12233+0.02481i,-0.091704+0.084685i,-0.034452+0.11998i,0.0328+0.12044i,0.090531+0.085937i,0.12198+0.026489i,0.11802-0.040648i,-0.12412-0.016428i,-0.11462+0.050356i,-0.071859+0.10252i,-0.008232+0.12493i,0.057784+0.11107i,0.10703+0.064962i,0.1252,0.10703-0.064962i,-0.12431+0.010537i,-0.1008+0.073507i,-0.048025+0.11514i,0.018688+0.12334i,0.079975+0.095744i,0.11805+0.04035i,0.12185-0.026757i,0.090279-0.086097i,-0.1194+0.036713i,-0.083019+0.093337i,-0.022539+0.12287i,0.044484+0.11673i,0.098594+0.076702i,0.12408+0.014411i,0.11355-0.052063i,0.070053-0.10342i,-0.10876+0.061696i,-0.06096+0.10917i,0.0045347+0.12496i,0.068713+0.10447i,0.11294+0.05365i,0.12439-0.012741i,0.099723-0.075434i,0.046108-0.11623i,-0.093254+0.083321i,-0.036485+0.11961i,0.030875+0.12118i,0.089272+0.087574i,0.12175+0.028542i,0.11889-0.038776i,0.081514-0.094837i,0.020474-0.12337i,-0.072912+0.10158i,-0.0096205+0.12467i,0.056463+0.11157i,0.10616+0.066075i,0.12503+0.0014025i,0.10761-0.063677i,0.058952-0.11027i,-0.0068216-0.12485i
-0.041674+0.1186i,0.025916+0.12301i,0.085982+0.091711i,0.12109+0.033785i,0.12104-0.033948i,0.085859-0.091826i,0.02575-0.12305i,-0.041834-0.11855i,0.12151+0.073755i,0.14214,0.12151-0.073755i,0.065606-0.1261i,-0.0093463-0.14184i,-0.081585-0.1164i,-0.13014-0.057173i,-0.14092+0.018652i,0.082319-0.02666i,0.056538-0.065503i,0.014344-0.085332i,-0.032015-0.080388i,-0.069079-0.052109i,-0.08609-0.008702i,-0.078109+0.037231i,-0.047454+0.072356i,0.078653-0.11009i,0.010115-0.13492i,-0.06136-0.12059i,-0.11502-0.071245i,-0.13529-0.0012216i,-0.11629+0.069156i,-0.063527+0.11946i,0.0076768+0.13508i,-0.096674-0.10323i,-0.1362-0.038082i,-0.13619+0.038118i,-0.096647+0.10325i,-0.029044+0.13841i,0.046991+0.13339i,0.10938+0.089648i,0.14002+0.01988i,-0.084555-0.0041455i,-0.074433+0.04033i,-0.042703+0.073097i,0.0014232+0.084645i,0.045136+0.07162i,0.075747+0.037805i,0.084368-0.0069856i,0.068497-0.049748i,-0.10716+0.084428i,-0.047802+0.12778i,0.025437+0.13403i,0.091292+0.10138i,0.13064+0.039297i,0.13207-0.034195i,0.09516-0.09776i,0.030622-0.13295i,0.061338+0.11685i,0.11307+0.068066i,0.13197-0.00048164i,0.11257-0.068889i,0.060484-0.1173i,-0.0091581-0.13166i,-0.076142-0.10779i,-0.12102-0.05264i
