-0.15288-0.1584i,-0.25099-0.024276i,-0.20946+0.15008i,-0.052797+0.22818i,0.041269+0.23533i,0.20879+0.17586i,0.27616,0.18954-0.15851i,0.10891-0.21852i,-0.065179-0.26708i,-0.2205-0.16158i,-0.23995+0.014007i,-0.20708+0.10339i,-0.095716+0.23752i,0.082208+0.2372i,0.18838+0.11149i
0.011111-0.24912i,-0.12078-0.21885i,-0.21749-0.12384i,-0.25017+0.0078203i,-0.013707+0.249i,0.11851+0.22011i,0.2162+0.12611i,0.25026-0.0052146i,0.016302-0.24886i,-0.11621-0.22134i,-0.21489-0.12836i,-0.25032+0.0026077i,-0.018895+0.24868i,0.1139+0.22255i,0.21355+0.1306i,0.25035
-0.17301-0.087252i,-0.30287-0.049092i,-0.27976+0.039321i,-0.14616+0.04673i,0.19601+0.057048i,0.32305,0.28844-0.09035i,0.14409-0.082569i,-0.20079-0.017733i,-0.31669+0.05459i,-0.27081+0.14019i,-0.12441+0.1123i,0.18521-0.018636i,0.28531-0.098287i,0.23246-0.17401i,0.093692-0.12721i
0.038401+0.2292i,0.19938+0.17351i,0.26656,0.18297-0.15286i,0.078759-0.22032i,-0.090763-0.24756i,-0.23138-0.12681i,-0.23023+0.045019i,-0.17676+0.15555i,-0.040481+0.26116i,0.14079+0.22251i,0.22135+0.071746i,0.23309-0.051744i,0.16187-0.21122i,-0.016533-0.26273i,-0.15765-0.16906i
-0.19221-0.074278i,-0.23343+0.04207i,-0.1827+0.16353i,-0.063863+0.21418i,0.10457+0.22655i,0.24067+0.15442i,0.28856,0.21476-0.13753i,0.080365-0.23982i,-0.070593-0.27883i,-0.20976-0.19491i,-0.24719-0.0437i,-0.19113+0.11073i,-0.11376+0.21563i,0.018523+0.23629i,0.12353+0.16584i
-0.15923+0.12363i,-0.081685+0.24093i,0.073773+0.2534i,0.18443+0.13971i,-0.0015732+0.23075i,0.1634+0.2314i,0.27023+0.092262i,0.22773-0.073554i,0.19526+0.14572i,0.28778,0.22721-0.16488i,0.070295-0.21391i,0.22187-0.073939i,0.15175-0.21825i,-0.0012383-0.25233i,-0.11022-0.16215i
-0.22444-0.026675i,-0.2134+0.093938i,-0.13817+0.19076i,-0.023552+0.2311i,-0.077426+0.24726i,0.057957+0.26046i,0.18063+0.198i,0.24969+0.080363i,0.2295+0.13094i,0.26967,0.23275-0.13335i,0.131-0.22493i,0.15735-0.17832i,0.047708-0.23576i,-0.076726-0.22499i,-0.17468-0.14987i
-0.14713-0.19097i,-0.2293-0.0882i,-0.23772+0.039071i,-0.17802+0.1413i,0.22261+0.1314i,0.26735,0.22941-0.13428i,0.12613-0.22055i,-0.24997-0.037515i,-0.24675+0.096033i,-0.16562+0.20898i,-0.034899+0.25582i,0.22004-0.051971i,0.1774-0.16137i,0.07301-0.23374i,-0.05853-0.23353i
0.19508+0.084188i,0.21649-0.028251i,0.17306-0.13682i,0.077516-0.20506i,-0.20411-0.17361i,-0.2698-0.04339i,-0.25384+0.10341i,-0.16091+0.21729i,0.12609+0.24382i,0.23878+0.14534i,0.28008,0.23596-0.14341i,-0.03519-0.22446i,-0.14764-0.17643i,-0.2165-0.075232i,-0.22014+0.045219i
0.0023736+0.24946i,0.14261+0.20088i,0.22658+0.081136i,0.22435-0.061416i,0.22032+0.15047i,0.26875,0.22094-0.15115i,0.095428-0.2458i,0.24143-0.080476i,0.15721-0.20818i,0.011843-0.26414i,-0.14-0.22499i,0.075086-0.20266i,-0.058354-0.21756i,-0.17859-0.14847i,-0.23614-0.018974i
-0.0049034-0.20411i,-0.13445-0.19899i,-0.2253-0.10258i,-0.22232+0.020588i,0.11016+0.22135i,0.24083+0.14838i,0.28649,0.22015-0.13216i,-0.20285-0.15305i,-0.28461-0.030854i,-0.2579+0.12212i,-0.13679+0.21147i,0.21436+0.040337i,0.23222-0.079195i,0.15454-0.18505i,0.026584-0.20583i
-0.070095+0.18143i,0.031793+0.19938i,0.13247+0.15919i,0.19846+0.068715i,-0.086439-0.26704i,-0.21484-0.18861i,-0.28315-0.05165i,-0.26792+0.10144i,0.24599+0.14791i,0.28879,0.24634-0.14762i,0.13355-0.24862i,-0.21657+0.02973i,-0.16825+0.13594i,-0.07351+0.19835i,0.035211+0.20129i
0.16936-0.12312i,0.054246-0.26536i,-0.13016-0.24613i,-0.21815-0.071522i,0.027186+0.21431i,0.21263+0.17587i,0.28158,0.16658-0.15873i,-0.20409-0.079099i,-0.25538+0.10561i,-0.13142+0.24706i,0.058634+0.2185i,0.16462-0.14188i,0.025398-0.27071i,-0.15232-0.2271i,-0.21222-0.052799i
-0.23345+0.094774i,-0.16132+0.19202i,-0.051304+0.23973i,0.064929+0.22623i,0.22688+0.11945i,0.25888,0.22684-0.11962i,0.14039-0.20594i,-0.024762-0.24543i,-0.14116-0.21162i,-0.22625-0.12274i,-0.25554-0.0032278i,-0.16543+0.16515i,-0.070771+0.23351i,0.048516+0.24547i,0.15911+0.19559i
-0.083645+0.20408i,0.038507+0.21298i,0.13977+0.15445i,0.18675+0.056373i,0.2462+0.15288i,0.29614,0.25008-0.15315i,0.12787-0.24983i,0.19427-0.19739i,0.065446-0.28101i,-0.092385-0.27578i,-0.22-0.18086i,-0.10938-0.14879i,-0.183-0.07465i,-0.20346+0.036102i,-0.15599+0.14411i
-0.061506-0.22169i,-0.17529-0.16526i,-0.24049-0.049214i,-0.22774+0.086049i,0.10654+0.23002i,0.22202+0.14229i,0.26594,0.2186-0.14084i,-0.15659-0.20687i,-0.24954-0.090018i,-0.25644+0.059043i,-0.17739+0.18054i,0.18293+0.1587i,0.24092+0.034587i,0.21774-0.096984i,0.12866-0.18737i
-0.223-0.099837i,-0.2424+0.043108i,-0.17584+0.16721i,-0.057324+0.22892i,0.2124+0.14284i,0.26095,0.21532-0.14441i,0.097784-0.23197i,-0.1809-0.17817i,-0.25524-0.050975i,-0.24082+0.10002i,-0.14046+0.21233i,0.14067+0.19197i,0.22696+0.088897i,0.2408-0.051563i,0.16801-0.17598i
-0.082542-0.22645i,-0.20823-0.15705i,-0.25933-0.016394i,-0.20773+0.1166i,0.20247+0.13178i,0.26127,0.21682-0.14346i,0.095067-0.21812i,-0.24113+0.016302i,-0.20843+0.15691i,-0.086731+0.24408i,0.054397+0.23024i,0.18321-0.15774i,0.072729-0.25037i,-0.076393-0.2472i,-0.18079-0.15228i
0.10802+0.19411i,0.20286+0.1674i,0.2614+0.058192i,0.21527-0.062409i,-0.165-0.15766i,-0.26089-0.095023i,-0.27702+0.038294i,-0.18725+0.13489i,0.20504+0.098539i,0.28009,0.24622-0.1302i,0.13446-0.18501i,-0.21753-0.024582i,-0.25213+0.094781i,-0.1788+0.19544i,-0.07096+0.20766i
-0.21661-0.10408i,-0.24949+0.042651i,-0.1807+0.18081i,-0.04095+0.24428i,0.21396+0.11811i,0.25375-0.028694i,0.19091-0.17047i,0.054381-0.24004i,-0.20919-0.13118i,-0.25581+0.014593i,-0.19946+0.1591i,-0.066997+0.23435i,0.20289+0.14392i,0.25628,0.20669-0.14643i,0.078946-0.2267i
-0.11708-0.21573i,-0.23854-0.075183i,-0.2223+0.11146i,-0.079337+0.228i,0.0068742+0.25928i,0.19065+0.18579i,0.26661,0.18663-0.18191i,0.10626-0.22807i,-0.085714-0.24543i,-0.23455-0.1171i,-0.24588+0.078144i,-0.17421+0.13862i,-0.030095+0.22993i,0.1403+0.18956i,0.23078+0.039239i
-0.21383-0.10397i,-0.25444-0.01478i,-0.23662+0.085111i,-0.15882+0.16262i,0.13355-0.21562i,0.026236-0.26285i,-0.082329-0.24853i,-0.16375-0.18198i,0.16442+0.17898i,0.2382+0.10592i,0.26425,0.22912-0.11259i,-0.17766+0.13961i,-0.11089+0.22622i,-0.012981+0.25689i,0.082903+0.2268i
-0.16543-0.12097i,-0.20434-0.016908i,-0.18319+0.092214i,-0.10816+0.17427i,0.12922+0.25307i,0.24242+0.14841i,0.28429,0.24245-0.14843i,-0.0032681-0.28085i,-0.14962-0.238i,-0.25208-0.1249i,-0.28035+0.02516i,-0.094757+0.19742i,0.022349+0.21808i,0.13308+0.17445i,0.20474+0.079323i
0.097049+0.20495i,0.22648+0.14249i,0.27044,0.19708-0.12751i,0.18771-0.12899i,0.10544-0.24626i,-0.042155-0.26671i,-0.15642-0.17367i,-0.15749-0.16523i,-0.25942-0.065604i,-0.25585+0.082944i,-0.14572+0.18076i,-0.13827+0.18167i,-0.024269+0.26558i,0.12108+0.23828i,0.19976+0.11415i
-0.21676-0.096866i,-0.26336+0.024345i,-0.21801+0.1499i,-0.1064+0.21331i,0.20829+0.11746i,0.2655,0.23102-0.12931i,0.12549-0.20225i,-0.19589-0.13574i,-0.26279-0.024215i,-0.23973+0.1065i,-0.14205+0.18741i,0.18045+0.15069i,0.25552+0.046952i,0.24372-0.08279i,0.1551-0.1697i
0.20003-0.09475i,0.086836-0.22102i,-0.090624-0.20993i,-0.18938-0.069562i,0.19455+0.17699i,0.2923,0.21241-0.19501i,0.017929-0.25326i,-0.09977+0.23515i,0.10053+0.27117i,0.26006+0.13319i,0.2524-0.068656i,-0.20012-0.024497i,-0.17684+0.14458i,-0.024799+0.23515i,0.13257+0.1744i
0.21862+0.10343i,0.24854-0.025812i,0.19897-0.15085i,0.088313-0.2246i,-0.22142-0.11772i,-0.25792+0.014559i,-0.21244+0.14552i,-0.1023+0.22635i,0.2154+0.13074i,0.25889,0.22026-0.13318i,0.11489-0.21936i,-0.2032-0.13752i,-0.2512-0.012175i,-0.21933+0.11861i,-0.12105+0.20617i
-0.29913-0.039954i,-0.31337+0.11889i,-0.21826+0.25535i,-0.052793+0.30026i,-0.097547-0.10748i,-0.14988-0.070624i,-0.15973+0.0093658i,-0.10182+0.084577i,0.12097+0.04262i,0.14851-0.049054i,0.11091-0.11953i,0.051816-0.13515i,0.15356+0.2614i,0.29412+0.16154i,0.33699,0.26865-0.14308i
0.20346-0.092657i,0.10719-0.22187i,-0.06773-0.23647i,-0.19374-0.11375i,0.19687+0.16939i,0.2867,0.21483-0.18829i,0.031546-0.25525i,-0.062262+0.24215i,0.13057+0.24439i,0.26151+0.09602i,0.23644-0.089607i,-0.21699+0.023823i,-0.14627+0.18197i,0.01717+0.23118i,0.14872+0.14857i
-0.13705-0.19883i,-0.22994-0.10134i,-0.24994+0.034869i,-0.18776+0.15705i,0.11145+0.22357i,0.22064+0.1364i,0.26021,0.21431-0.13302i,-0.077361-0.23621i,-0.19776-0.16544i,-0.25579-0.036684i,-0.22934+0.099956i,0.042796+0.23437i,0.16693+0.18224i,0.23826+0.067004i,0.22999-0.065623i
-0.081769+0.21941i,0.050751+0.23321i,0.17019+0.16924i,0.2331+0.048899i,0.26374+0.16707i,0.31462,0.2639-0.16784i,0.12973-0.27792i,0.14404-0.20618i,0.007206-0.25517i,-0.13428-0.21799i,-0.2295-0.10818i,-0.15522-0.076456i,-0.17646+0.024246i,-0.13545+0.11992i,-0.047482+0.1748i
0.033289+0.16529i,0.15314+0.12023i,0.22043+0.005928i,0.20151-0.12929i,0.091641+0.25893i,0.24368+0.16837i,0.30632,0.25016-0.17092i,0.095089+0.28117i,0.23785+0.18002i,0.28618+0.012903i,0.22025-0.14471i,0.090737+0.20958i,0.17485+0.1101i,0.17839-0.015452i,0.10531-0.11105i
0.20456-0.13396i,0.11225-0.22554i,-0.016852-0.25215i,-0.13859-0.20424i,-0.23946-0.05843i,-0.24308+0.07255i,-0.17365+0.18564i,-0.054681+0.24192i,0.12117+0.2153i,0.2193+0.12814i,0.25425,0.21383-0.12524i,0.074152-0.23479i,-0.056002-0.2466i,-0.17273-0.18467i,-0.23597-0.070157i
0.23032+0.011633i,0.21772-0.11247i,0.12498-0.20458i,-0.0057607-0.21793i,-0.21787-0.13282i,-0.27425-0.003336i,-0.2347+0.13655i,-0.11651+0.21936i,0.11975+0.22352i,0.23653+0.14025i,0.27501,0.21723-0.13009i,0.0040469-0.22569i,-0.12631-0.21124i,-0.21856-0.11814i,-0.23028+0.0073049i
-0.12494-0.21299i,-0.21741-0.11711i,-0.24662+0.012857i,-0.20408+0.1391i,-0.017283+0.25438i,0.11738+0.22636i,0.21789+0.13245i,0.255,0.15682-0.19933i,0.030473-0.25179i,-0.10474-0.23098i,-0.20948-0.14297i,-0.23279+0.07417i,-0.16038+0.18428i,-0.041327+0.24075i,0.089725+0.22716i
0.097299-0.1849i,0.084121-0.25526i,0.03634-0.17881i,0.020515-0.001922i,0.28258+0.064272i,0.37404,0.27578-0.071596i,0.047919-0.070866i,-0.04908+0.21107i,0.0085505+0.35308i,0.077695+0.31334i,0.082636+0.13111i,-0.15434-0.0078674i,-0.2956+0.067451i,-0.27171+0.13621i,-0.11808+0.12623i
0.062681+0.24093i,0.1925+0.16208i,0.25054+0.020877i,0.21383-0.12612i,-0.072571-0.23778i,-0.19904-0.15392i,-0.25148-0.01046i,-0.20888+0.13527i,0.082232+0.23397i,0.20503+0.14535i,0.25172,0.20333-0.14407i,-0.091609-0.22952i,-0.21042-0.1364i,-0.25127+0.010445i,-0.19721+0.15247i
-0.15311-0.19365i,-0.23178-0.087547i,-0.24418+0.044344i,-0.18642+0.1637i,0.12177+0.22857i,0.2226+0.13362i,0.25977,0.22241-0.13352i,-0.075208-0.24359i,-0.19015-0.17031i,-0.25054-0.048111i,-0.23897+0.087458i,0.033632+0.23527i,0.15012+0.18437i,0.22327+0.080595i,0.23205-0.04567i
0.08777-0.21418i,-0.073983-0.24175i,-0.19781-0.14981i,-0.20869-0.011873i,0.20021+0.15532i,0.28733,0.23271-0.16724i,0.077728-0.23569i,-0.19471+0.14272i,-0.085556+0.26817i,0.088273+0.2702i,0.21003+0.14215i,-0.070764-0.18316i,-0.19354-0.1347i,-0.24278+0.005293i,-0.17186+0.14651i
0.076879-0.20908i,-0.041744-0.2203i,-0.14847-0.16687i,-0.21011-0.065866i,-0.27244+0.017569i,-0.22463+0.15926i,-0.10755+0.25315i,0.040843+0.26899i,0.12195+0.24418i,0.23482+0.14511i,0.27647,0.23335-0.14407i,0.13685-0.17323i,0.027726-0.22225i,-0.091604-0.20535i,-0.18333-0.12766i
-0.20882-0.076488i,-0.22254+0.032012i,-0.17612+0.12671i,-0.092944+0.17847i,0.16496-0.22288i,0.036083-0.28449i,-0.10523-0.26156i,-0.20436-0.16728i,0.14001+0.22988i,0.24858+0.14015i,0.28762,0.24001-0.1349i,-0.191+0.072678i,-0.1471+0.16431i,-0.053659+0.22096i,0.058541+0.21481i
0.11024-0.17656i,0.0024473-0.20827i,-0.10618-0.1793i,-0.18395-0.098033i,-0.020412+0.28646i,0.13169+0.25535i,0.2454+0.14955i,0.28741,-0.14276-0.24537i,-0.2497-0.13525i,-0.28366+0.014488i,-0.23468+0.16002i,0.1803+0.10417i,0.20827-0.0047081i,0.17555-0.11229i,0.091646-0.18719i
-0.20465-0.19417i,-0.30078-0.091462i,-0.30811+0.046564i,-0.22531+0.15495i,0.050147+0.12064i,0.13271+0.12891i,0.1972+0.085312i,0.21441+0.013793i,-0.20871-0.0464i,-0.21276+0.026313i,-0.16412+0.085343i,-0.083952+0.099914i,0.1735+0.21811i,0.28647+0.1365i,0.32009,0.25691-0.12778i
0.18742+0.14925i,0.24085+0.03717i,0.22972-0.087998i,0.15621-0.19064i,0.12938+0.21911i,0.22336+0.12748i,0.25803,0.22324-0.12736i,0.043822+0.25247i,0.16398+0.19853i,0.24025+0.090919i,0.25128-0.039762i,-0.047001+0.24033i,0.078239+0.23183i,0.18141+0.16116i,0.23373+0.049102i
-0.09685+0.19046i,0.018935+0.21457i,0.13025+0.17282i,0.20211+0.077907i,0.074604+0.26966i,0.20628+0.19112i,0.27634+0.054262i,0.26305-0.098773i,0.23926+0.14785i,0.28212,0.23979-0.14829i,0.12535-0.2512i,0.21103-0.034527i,0.16057-0.14122i,0.060811-0.20419i,-0.056661-0.20379i
0.24504-0.033701i,0.19074-0.17207i,0.061297-0.24787i,-0.082866-0.22815i,-0.05492-0.23684i,-0.18637-0.1724i,-0.25074-0.038084i,-0.21885+0.10404i,-0.23308+0.069315i,-0.16126+0.1966i,-0.023141+0.25331i,0.11784+0.21298i,0.091863+0.22672i,0.21289+0.14397i,0.2583,0.20548-0.13978i
-0.21537-0.075704i,-0.22603+0.047289i,-0.17012+0.15889i,-0.063289+0.22508i,-0.11484+0.23824i,0.025405+0.26489i,0.15953+0.21395i,0.24724+0.10018i,0.22853+0.13861i,0.26765,0.2284-0.13855i,0.12286-0.23565i,0.14189-0.18756i,0.023815-0.23318i,-0.099937-0.21022i,-0.19242-0.12666i
-0.15489+0.12895i,-0.08867+0.21319i,0.013509+0.23153i,0.091343+0.18089i,0.24748+0.11808i,0.30331,0.26987-0.12926i,0.16682-0.20366i,-0.013037-0.26519i,-0.13854-0.26036i,-0.23664-0.17318i,-0.25661-0.047371i,-0.17839+0.095751i,-0.14036+0.17688i,-0.048825+0.21289i,0.045163+0.17861i
-0.19355+0.0021672i,-0.16056+0.11831i,-0.063354+0.18868i,0.05313+0.18467i,0.10638+0.28476i,0.25889+0.17872i,0.31548,0.25244-0.17386i,0.24212-0.1552i,0.11367-0.27656i,-0.066057-0.29384i,-0.21825-0.19704i,-0.12437-0.095445i,-0.16728-0.0054604i,-0.143+0.09667i,-0.057432+0.1625i
-0.14657-0.16141i,-0.28565-0.085298i,-0.26035+0.085677i,-0.088131+0.14704i,0.18067+0.11706i,0.30931,0.24266-0.16087i,0.067922-0.17618i,-0.19106-0.066759i,-0.2913+0.086472i,-0.19146+0.22353i,-0.030025+0.1998i,0.18057+0.023618i,0.23854-0.15167i,0.11786-0.2573i,-0.021527-0.20565i
0.090334+0.23086i,0.20013+0.15094i,0.24907+0.023734i,0.22133-0.10858i,0.10175+0.22727i,0.20833+0.14206i,0.25178+0.012i,0.21793-0.11992i,0.11237+0.22195i,0.21499+0.13204i,0.2526,0.21276-0.13059i,0.12201+0.215i,0.22+0.12104i,0.25149-0.012059i,0.2059-0.14041i
0.084852-0.19553i,-0.042913-0.2196i,-0.16262-0.16202i,-0.22582-0.044929i,0.1041+0.24947i,0.23252+0.15451i,0.28174,0.23176-0.15331i,-0.25437-0.1025i,-0.27313+0.055467i,-0.19568+0.19582i,-0.052665+0.26345i,0.20576-0.084919i,0.12488-0.18419i,0.0011225-0.21748i,-0.11613-0.17217i
0.03704-0.20754i,-0.066819-0.20138i,-0.15367-0.14366i,-0.19919-0.050554i,0.26984-0.060823i,0.21137-0.18393i,0.098704-0.26149i,-0.036886-0.27207i,0.15539+0.23365i,0.25192+0.13465i,0.28621,0.2489-0.13313i,-0.12135+0.17833i,-0.021851+0.21975i,0.085621+0.20545i,0.1712+0.13947i
0.22993+0.059643i,0.231-0.078374i,0.15101-0.19878i,0.017166-0.24654i,-0.23152-0.10279i,-0.24866+0.042427i,-0.18308+0.17144i,-0.060064+0.24185i,0.21329+0.14142i,0.26187,0.21553-0.14476i,0.097928-0.22742i,-0.18039-0.15936i,-0.24383-0.038131i,-0.2318+0.10384i,-0.13334+0.20964i
-0.24377-0.045547i,-0.23369+0.085314i,-0.15716+0.1922i,-0.036782+0.24372i,0.21888+0.12977i,0.25546,0.21946-0.13016i,0.1216-0.22249i,-0.15945-0.19606i,-0.2383-0.087704i,-0.24962+0.046061i,-0.19026+0.16592i,0.08064+0.22951i,0.18751+0.15717i,0.24154+0.039705i,0.22705-0.088319i
-0.12946-0.15616i,-0.1975-0.06602i,-0.20662+0.049124i,-0.15155+0.15282i,-0.027439+0.27991i,0.12585+0.25502i,0.24289+0.151i,0.28611,0.22294-0.1783i,0.095433-0.26929i,-0.060639-0.27785i,-0.19606-0.2021i,-0.21458-0.020898i,-0.19116+0.093967i,-0.11111+0.17714i,-0.0013591+0.2039i
0.12269+0.014554i,0.1943+0.065078i,0.21685+0.13978i,0.089102+0.30362i,-0.033916+0.24317i,-0.19378+0.23863i,-0.21029+0.067763i,-0.26372-0.017468i,-0.10211-0.21108i,-0.057296-0.22963i,0.14892-0.24133i,0.21464-0.12421i,0.33746,0.20689+0.13396i,0.12801+0.17661i,0.074322+0.14826i
-0.19545+0.03762i,-0.2228+0.16314i,-0.13481+0.24831i,-0.0095699+0.21825i,0.13286+0.16199i,0.25838+0.1206i,0.28791,0.19757-0.092279i,0.083261-0.19859i,-0.017613-0.28688i,-0.1366-0.25168i,-0.16917-0.12845i,-0.21523+0.018494i,-0.23974+0.15005i,-0.15067+0.23376i,-0.031391+0.19961i
0.15907+0.22501i,0.27366+0.14068i,0.31502,0.26573-0.12522i,0.091939-0.18598i,0.018-0.20396i,-0.057771-0.17585i,-0.093088-0.10329i,0.091133-0.10564i,0.043823-0.1792i,-0.041517-0.20937i,-0.11749-0.19039i,-0.26534-0.10208i,-0.30905+0.028336i,-0.26639+0.16618i,-0.15137+0.23991i
-0.067847+0.24001i,0.066059+0.2404i,0.1808+0.17149i,0.24331+0.053245i,0.041445-0.24679i,-0.092238-0.23261i,-0.19926-0.1513i,-0.24873-0.026398i,-0.014992+0.24986i,0.11647+0.2217i,0.21442+0.12956i,0.25058,-0.011717-0.24966i,-0.13917-0.20776i,-0.22662-0.10595i,-0.2488+0.026448i
-0.030161-0.2481i,-0.15459-0.19637i,-0.23407-0.087565i,-0.24551+0.046694i,-0.01678+0.25012i,0.11553+0.22248i,0.21425+0.13016i,0.2507,0.063131-0.24228i,-0.071844-0.23985i,-0.18594-0.16769i,-0.24599-0.046776i,-0.10667+0.22497i,0.025644+0.24767i,0.15052+0.19837i,0.23165+0.09139i
0.19035-0.12263i,0.10585-0.20311i,-0.0088548-0.23007i,-0.12187-0.19513i,0.26681-0.0065586i,0.23026-0.13931i,0.13091-0.23574i,-0.003564-0.26848i,0.23332+0.13355i,0.26998,0.23385-0.13377i,0.13544-0.23023i,0.11551+0.20107i,0.20016+0.11738i,0.23069+0.0028019i,0.19939-0.11033i
-0.089987-0.18953i,-0.20231-0.10564i,-0.22109+0.017719i,-0.17595+0.099113i,0.23618+0.15477i,0.31087,0.26042-0.16495i,0.1341-0.24617i,-0.26517+0.015693i,-0.24834+0.1616i,-0.12394+0.27181i,0.037584+0.26803i,0.14513-0.093143i,0.10607-0.16633i,0.00016774-0.20322i,-0.10797-0.14654i
-0.24533-0.032125i,-0.23169+0.093733i,-0.1536+0.19371i,-0.036014+0.23686i,0.22053+0.12468i,0.25701,0.2222-0.12564i,0.12747-0.21303i,-0.15638-0.1975i,-0.23782-0.096602i,-0.25396+0.032724i,-0.20006+0.14997i,0.068276+0.23365i,0.1788+0.17334i,0.24136+0.063131i,0.23651-0.062422i
0.19283-0.094405i,0.11768-0.18047i,0.0073076-0.21353i,-0.10314-0.18281i,0.24536+0.14636i,0.28941,0.24729-0.14815i,0.13278-0.24954i,0.047708+0.26701i,0.182+0.20814i,0.26355+0.085269i,0.2657-0.060765i,-0.14019+0.15918i,-0.037828+0.21375i,0.078751+0.20501i,0.17205+0.13572i
-0.12753+0.16002i,-0.046999+0.19777i,0.036963+0.19069i,0.10111+0.14701i,0.017477-0.292i,-0.10614-0.27133i,-0.20999-0.1962i,-0.26918-0.081251i,0.18091+0.22673i,0.26581+0.12598i,0.29601,0.26781-0.12339i,-0.18769-0.052764i,-0.20514+0.030464i,-0.17723+0.11658i,-0.10795+0.17953i
0.19623+0.11126i,0.26798+0.039131i,0.26307-0.067145i,0.18821-0.12993i,-0.20575-0.098774i,-0.27139-0.019761i,-0.25696+0.085715i,-0.17756+0.14112i,0.214+0.085136i,0.27269,0.24887-0.10344i,0.16592-0.15095i,-0.22076-0.070508i,-0.27178+0.019782i,-0.23899+0.12001i,-0.15355+0.15933i
